ID,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer
1872,Calling,Wii,2009,Adventure,Konami Digital Entertainment,0.06,0.04,0,0.01,0.11,Hudson Entertainment
1873,Calvin Tucker's Redneck Jamboree,Wii,2008,Misc,Zoo Games,0.28,0,0,0.02,0.31,Humagade
1874,Camp Rock: The Final Jam,DS,2010,Misc,Disney Interactive Studios,0.14,0.02,0,0.01,0.17,
1875,Camping Mama: Outdoor Adventures,DS,2011,Simulation,505 Games,0.12,0.05,0,0.02,0.18,Racjin
1876,Canada Hunt,Wii,2010,Sports,Virtual Play Games,0.02,0,0,0,0.02,Virtual Play Inc.
1877,Candace Kane's Candy Factory,Wii,2008,Action,Destineer,0.14,0,0,0.01,0.15,Destineer
1878,Candace Kane's Candy Factory,DS,2008,Action,Destineer,0.04,0,0,0,0.04,F84 Games
1879,CandyLand / Chutes & Ladders / Memory,GBA,2005,Misc,Zoo Digital Publishing,0.15,0.05,0,0,0.2,
1880,Canvas 2,PS2,2006,Adventure,Kadokawa Shoten,0,0,0.02,0,0.02,
1881,Capcom Classics Collection,PS2,2005,Misc,Capcom,0.22,0.17,0.05,0.06,0.51,Digital Eclipse
1882,Capcom Classics Collection,XB,2005,Misc,Capcom,0.11,0.03,0,0.01,0.15,Digital Eclipse
1883,Capcom Classics Collection Reloaded,PSP,2006,Misc,Capcom,0.26,0,0.03,0.03,0.33,"Capcom, Klein Computer Entertainment"
1884,Capcom Classics Collection Remixed,PSP,2006,Misc,Capcom,0.27,0,0,0.02,0.3,Digital Eclipse
1885,Capcom Digital Collection,X360,2012,Action,Capcom,0.02,0.01,0,0,0.02,Capcom
1886,Capcom Fighting Evolution,PS2,2004,Fighting,Capcom,0.1,0.08,0,0.03,0.2,Capcom
1887,Capcom Fighting Evolution,XB,2005,Fighting,Capcom,0.03,0.01,0,0,0.04,Capcom
1888,Capcom vs. SNK,DC,2000,Fighting,Virgin Interactive,0,0,0.22,0,0.22,Capcom
1889,Capcom vs. SNK 2 EO,GC,2002,Fighting,Capcom,0.09,0.02,0,0,0.11,Capcom
1890,Capcom vs. SNK 2 EO,XB,2003,Fighting,Capcom,0.08,0.02,0,0,0.1,Capcom
1891,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,Capcom,0.22,0.17,0.3,0.06,0.75,Capcom
1892,Capcom vs. SNK 2: Millionaire Fighting 2001,DC,2001,Fighting,Capcom,0,0,0.12,0,0.12,
1893,Capcom vs. SNK: Millennium Fight 2000 Pro,DC,2001,Fighting,Capcom,0,0,0.05,0,0.05,
1894,Capcom's Soccer Shootout,SNES,1993,Sports,Nintendo,0,0,0.8,0,0.8,
1895,Captain America: Super Soldier,PS3,2011,Action,Sega,0.1,0.06,0,0.03,0.19,Next Level Games
1896,Captain America: Super Soldier,X360,2011,Action,Sega,0.11,0.05,0,0.01,0.17,Next Level Games
1897,Captain America: Super Soldier,3DS,2011,Action,Sega,0.05,0.02,0,0.01,0.08,High Voltage Software
1898,Captain America: Super Soldier,Wii,N/A,Action,Sega,0.05,0,0,0,0.05,High Voltage Software
1899,Captain America: Super Soldier,DS,N/A,Action,Sega,0.05,0,0,0,0.05,
1900,Captain Morgane and the Golden Turtle,PC,2012,Adventure,Reef Entertainment,0,0.02,0,0,0.03,Wizarbox
1901,Captain Morgane and the Golden Turtle,DS,2012,Adventure,Reef Entertainment,0,0.02,0,0,0.02,Wizarbox
1902,Captain Morgane and the Golden Turtle,PS3,2012,Adventure,Reef Entertainment,0,0.02,0,0,0.02,Wizarbox
1903,Captain Morgane and the Golden Turtle,Wii,2012,Adventure,Reef Entertainment,0,0.01,0,0,0.01,Wizarbox
1904,Captain Rainbow,Wii,2008,Adventure,Nintendo,0,0,0.01,0,0.01,
1905,Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.53,0.38,0.19,0.09,1.19,Nintendo EAD Tokyo
1906,Captain Tsubasa,PS2,2006,Sports,Namco Bandai Games,0,0,0.08,0,0.08,
1907,Captain Tsubasa J: The Way to World Youth,SNES,1995,Sports,Namco Bandai Games,0,0,0.03,0,0.03,
1908,Captain Tsubasa: Aratanaru Densetsu Joshou,PS,2002,Sports,Konami Digital Entertainment,0,0,0.08,0.01,0.09,
1909,Captain Tsubasa: New Kick Off,DS,2010,Sports,Konami Digital Entertainment,0,0.02,0.06,0,0.08,
1910,Car Battler Joe,GBA,2001,Role-Playing,Victor Interactive,0.01,0.01,0,0,0.02,Ancient
1911,Card Fight!! Vanguard G: Stride to Victory!!,3DS,2016,Misc,FuRyu,0,0,0.04,0,0.04,
1912,Card Games,PS,2000,Misc,D3Publisher,0.04,0.03,0,0,0.07,
1913,Cardfight!! Vanguard: Lock On Victory!!,3DS,2014,Misc,FuRyu,0,0,0.07,0,0.07,
1914,Cardfight!! Vanguard: Ride to Victory,3DS,2013,Misc,FuRyu,0,0,0.09,0,0.09,
1915,Cardinal Syn,PS,1998,Fighting,Sony Computer Entertainment,0.08,0.06,0,0.01,0.15,
1916,Care Bears - Care Quest,GBA,2005,Action,Game Factory,0.02,0.01,0,0,0.03,
1917,Carmageddon 64,N64,1999,Action,Virgin Interactive,0.01,0,0,0,0.01,
1918,Carmageddon: Max Damage,XOne,2016,Action,Stainless Games,0.01,0.01,0,0,0.02,Stainless Games
1919,Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,0.01,0,0,0,0.01,Stainless Games
1920,Carmen Sandiego: The Secret of the Stolen Drums,PS2,2004,Action,BAM! Entertainment,0.03,0.02,0,0.01,0.06,Artificial Mind and Movement
1921,Carmen Sandiego: The Secret of the Stolen Drums,XB,2004,Action,BAM! Entertainment,0.02,0.01,0,0,0.02,Artificial Mind and Movement
1922,Carmen Sandiego: The Secret of the Stolen Drums,GC,2004,Action,BAM! Entertainment,0.02,0,0,0,0.02,Artificial Mind and Movement
1923,Carnage Heart,PS,1995,Strategy,Sony Computer Entertainment,0.01,0.01,0.09,0.01,0.11,
1924,Carnage Heart EXA,PSP,2010,Strategy,ArtDink,0,0,0.02,0,0.02,Artdink
1925,Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0,0,0.34,
1926,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.12,1.47,0.05,0.42,4.05,Cat Daddy Games
1927,Carnival Games,DS,2008,Misc,Take-Two Interactive,1.21,0.63,0,0.19,2.03,Cat Daddy Games
1928,Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,0.86,0.54,0,0.15,1.56,Cat Daddy Games
1929,"Carnival Games: Monkey See, Monkey Do!",X360,2011,Misc,Take-Two Interactive,0.14,0.15,0,0.03,0.32,
1930,Carnival Games: Wild West 3D,3DS,2011,Misc,Take-Two Interactive,0.06,0.02,0,0.01,0.09,Take-Two Interactive
1931,Carnival Island,PS3,2011,Misc,Sony Computer Entertainment,0.13,0.06,0,0.04,0.23,Magic Pixel Games
1932,Carol Vorderman's Sudoku,PS2,2006,Puzzle,Xplosiv,0,0.23,0,0.05,0.28,Atomic Planet Entertainment
1933,Carol Vorderman's Sudoku,PSP,2006,Puzzle,Xplosiv,0.05,0,0,0.01,0.07,Empire Interactive
1934,Cars,PS2,2006,Racing,THQ,1.01,0.04,0,0.16,1.21,Rainbow Studios
1935,Cars,PSP,2006,Racing,THQ,0.72,0.28,0,0.2,1.2,Locomotive Games
1936,Cars,GBA,2006,Racing,THQ,0.81,0.3,0,0.02,1.13,Helixe
1937,Cars,DS,2006,Racing,THQ,0.85,0.04,0,0.07,0.97,Helixe
1938,Cars,GC,2006,Racing,THQ,0.72,0.19,0,0.03,0.93,Rainbow Studios
1939,Cars,Wii,2006,Racing,THQ,0.83,0.03,0,0.07,0.92,Rainbow Studios
1940,Cars,X360,2006,Racing,THQ,0.22,0.01,0,0.02,0.25,Rainbow Studios
1941,Cars,XB,2006,Racing,THQ,0.15,0.04,0,0.01,0.2,Rainbow Studios
1942,Cars 2,DS,2011,Racing,Disney Interactive Studios,0.68,0.4,0.04,0.11,1.23,
1943,Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.43,0.37,0,0.09,0.89,
1944,Cars 2,PS3,2011,Racing,Disney Interactive Studios,0.22,0.21,0,0.09,0.52,
1945,Cars 2,X360,2011,Racing,Disney Interactive Studios,0.28,0.15,0,0.05,0.48,
1946,Cars 2,3DS,2011,Racing,Disney Interactive Studios,0.21,0,0,0.02,0.23,
1947,Cars 2,PSP,2011,Racing,Disney Interactive Studios,0.1,0.01,0,0.02,0.13,
1948,Cars Mater-National Championship,Wii,2007,Racing,THQ,0.46,0,0,0.04,0.49,Incinerator Games
1949,Cars Toon: Mater's Tall Tales,Wii,2010,Misc,Disney Interactive Studios,0.45,0.02,0,0.03,0.5,Disney Interactive Studios
1950,Cars: Mater-National Championship,DS,2007,Racing,THQ,0.63,0,0,0.05,0.68,Rainbow Studios
1951,Cars: Mater-National Championship,PS3,2007,Racing,THQ,0.37,0.01,0,0.03,0.41,Rainbow Studios
1952,Cars: Mater-National Championship,PS2,2007,Racing,THQ,0.12,0.09,0,0.03,0.25,Rainbow Studios
1953,Cars: Mater-National Championship,X360,2007,Racing,THQ,0.13,0,0,0.01,0.14,Rainbow Studios
1954,Cars: Race-O-Rama,Wii,2009,Racing,THQ,0.61,0.29,0,0.09,0.99,Incinerator Games
1955,Cars: Race-O-Rama,DS,2009,Racing,THQ,0.35,0.08,0,0.04,0.47,Tantalus Interactive
1956,Cars: Race-O-Rama,PS2,2009,Racing,THQ,0.27,0.03,0,0.17,0.47,Incinerator Games
1957,Cars: Race-O-Rama,PSP,2009,Racing,THQ,0.29,0.07,0,0.06,0.41,Tantalus Interactive
1958,Cars: Race-O-Rama,PS3,2009,Racing,THQ,0.14,0.03,0,0.02,0.18,Incinerator Games
1959,Cars: Race-O-Rama,X360,2009,Racing,THQ,0.14,0.01,0,0.01,0.15,Incinerator Games
1960,Cart World Series,PS,1997,Racing,Sony Computer Entertainment,0.17,0.11,0,0.02,0.3,
1961,Cartoon Network Battle Crashers,3DS,2016,Action,FuRyu Corporation,0.01,0,0,0,0.01,Magic Pockets
1962,Cartoon Network Block Party,GBA,2004,Misc,Majesco Entertainment,0.03,0.01,0,0,0.05,One Man Band
1963,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2005,Misc,THQ,0.47,0.17,0,0.01,0.65,
1964,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005,Misc,N/A,0.23,0.08,0,0.01,0.32,
1965,Cartoon Network Collection: Game Boy Advance Video Special Edition,GBA,2005,Misc,N/A,0.11,0.04,0,0,0.15,
1966,Cartoon Network Collection: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.18,0.07,0,0,0.25,
1967,Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA,2004,Misc,N/A,0.06,0.02,0,0,0.08,
1968,Cartoon Network Racing,DS,2006,Action,Game Factory,0.04,0,0,0,0.05,Firebrand Games
1969,Cartoon Network: Punch Time Explosion,3DS,2011,Fighting,Deep Silver,0.07,0.02,0,0.01,0.1,Papaya Studios
1970,Cartoon Network: Punch Time Explosion XL,Wii,2011,Fighting,Crave Entertainment,0.07,0.01,0,0.01,0.08,
1971,Cartoon Network: Punch Time Explosion XL,X360,2011,Fighting,Crave Entertainment,0.07,0,0,0.01,0.07,
1972,Cartoon Network: Punch Time Explosion XL,PS3,2011,Fighting,Crave Entertainment,0.06,0,0,0.01,0.07,
1973,Carve,XB,2004,Racing,Global Star,0.04,0.01,0,0,0.05,Argonaut Games
1974,Case Closed: One Truth Prevails,Wii,2007,Adventure,Nobilis,0,0,0.01,0,0.01,
1975,Casino Chaos With Las Vegas Players Collection,PC,2011,Misc,THQ,0.03,0,0,0,0.03,ValuSoft
1976,Casper,PS,1996,Adventure,Interplay,0.46,0.31,0,0.05,0.83,
1977,Casper,GBA,2002,Adventure,Microids,0.01,0,0,0,0.01,
1978,Casper: Friends Around the World,PS,2000,Action,TDK Core,0.1,0.07,0,0.01,0.18,
1979,Casper: Spirit Dimensions,PS2,2001,Platform,TDK Mediactive,0.07,0.05,0,0.02,0.14,Lucky Chicken
1980,Casper: Spirit Dimensions,GC,2002,Platform,TDK Mediactive,0.02,0,0,0,0.02,Lucky Chicken
1981,Casper's Scare School: Classroom Capers,DS,2008,Adventure,Blast! Entertainment Ltd,0.02,0,0,0,0.02,Nikitova Games
1982,Casper's Scare School: Spooky Sports Day,Wii,2009,Sports,Blast! Entertainment Ltd,0.02,0,0,0,0.02,Blast! Entertainment Ltd
1983,Casper's Scare School: Spooky Sports Day,DS,2009,Sports,Blast! Entertainment Ltd,0.02,0,0,0,0.02,The Code Monkeys
1984,Castle of Shikigami III,Wii,2007,Shooter,PQube,0.04,0,0,0,0.04,Alfa System
1985,Castle Shikigami 2,PS2,2004,Shooter,Play It,0.01,0.01,0,0,0.02,Alfa System
1986,Castlevania,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,
1987,Castlevania,N64,1999,Platform,Konami Digital Entertainment,0.44,0.1,0.04,0.05,0.64,
1988,Castlevania Bloodlines,GEN,1994,Platform,Konami Digital Entertainment,0,0,0.04,0,0.04,
1989,Castlevania Chronicles,PS,2001,Platform,Konami Digital Entertainment,0.07,0.05,0,0.01,0.13,Konami
1990,Castlevania Double Pack,GBA,2006,Platform,Konami Digital Entertainment,0.07,0.03,0,0,0.1,KCET
1991,Castlevania Dracula X,SNES,1995,Platform,Konami Digital Entertainment,0.03,0.01,0.05,0,0.09,
1992,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0,0.93,
1993,Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85,
1994,Castlevania Judgment,Wii,2008,Fighting,Konami Digital Entertainment,0.12,0.02,0.01,0.01,0.16,Eighting
1995,Castlevania: Aria of Sorrow,GBA,2003,Platform,Konami Digital Entertainment,0.2,0.07,0,0,0.28,KCET
1996,Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,KCEK
1997,Castlevania: Curse of Darkness,PS2,2005,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42,Konami
1998,Castlevania: Curse of Darkness,XB,2005,Action,Konami Digital Entertainment,0.09,0.03,0,0,0.12,Konami
1999,Castlevania: Dawn of Sorrow,DS,2005,Platform,Konami Digital Entertainment,0.34,0.03,0.03,0.03,0.43,Konami
2000,Castlevania: Harmony of Dissonance,GBA,2002,Platform,Konami Digital Entertainment,0.16,0.06,0.04,0,0.26,KCET
2001,Castlevania: Lament of Innocence,PS2,2003,Action,Konami Digital Entertainment,0.46,0.36,0,0.12,0.94,KCET
2002,Castlevania: Legacy of Darkness,N64,1999,Platform,Konami Digital Entertainment,0.06,0.02,0.05,0,0.13,
2003,Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,0.5,0.35,0.1,0.15,1.1,Mercury Steam
2004,Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,0.42,0.17,0.01,0.05,0.66,Mercury Steam
2005,Castlevania: Lords of Shadow - Mirror of Fate,3DS,2013,Action,Konami Digital Entertainment,0.04,0.07,0.03,0.01,0.15,
2006,Castlevania: Lords of Shadow - Reverie,PS3,2011,Action,Konami Digital Entertainment,0.02,0,0,0.01,0.03,
2007,Castlevania: Lords of Shadow - Reverie,X360,2011,Action,Konami Digital Entertainment,0.02,0,0,0,0.02,
2008,Castlevania: Lords of Shadow 2,PS3,2014,Action,Konami Digital Entertainment,0.03,0.12,0.02,0.03,0.2,Mercury Steam
2009,Castlevania: Lords of Shadow 2,X360,2014,Action,Konami Digital Entertainment,0.02,0.06,0,0.01,0.09,Mercury Steam
2010,Castlevania: Lords of Shadow 2,PC,2014,Action,Konami Digital Entertainment,0.01,0.03,0,0,0.04,Mercury Steam
2011,Castlevania: Order of Ecclesia,DS,2008,Platform,Konami Digital Entertainment,0.27,0.02,0.04,0.03,0.36,Konami
2012,Castlevania: Portrait of Ruin,DS,2006,Platform,Konami Digital Entertainment,0.31,0.02,0.04,0.03,0.4,Konami
2013,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,Konami
2014,Castlevania: The Dracula X Chronicles,PSP,2007,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.41,Konami
2015,Castrol Honda Superbike Racing,PS,1998,Racing,THQ,0.07,0.05,0,0.01,0.13,
2016,Casual Mania!,DS,2010,Puzzle,Foreign Media Games,0.04,0,0,0,0.04,Foreign Media
2017,Catan,DS,2009,Strategy,CDV Software Entertainment,0,0.02,0,0,0.02,
2018,Cate West: The Vanishing Files,DS,2008,Adventure,Oxygen Interactive,0.08,0.01,0,0.01,0.1,Magellan Interactive
2019,Cate West: The Vanishing Files,Wii,2009,Adventure,Oxygen Interactive,0.07,0,0,0.01,0.08,Destineer
2020,Catherine,PS3,2011,Adventure,Deep Silver,0.3,0.14,0.2,0.06,0.7,Atlus
2021,Catherine,X360,2011,Adventure,Deep Silver,0.2,0.06,0.03,0.02,0.31,Atlus
2022,Cats & Dogs: The Revenge of Kitty Galore,DS,2010,Action,505 Games,0.1,0,0,0.01,0.11,
2023,Catwoman,PS2,2004,Action,Electronic Arts,0.08,0.06,0,0.02,0.17,Argonaut Games
2024,Catwoman,GC,2004,Action,Electronic Arts,0.05,0.01,0,0,0.07,Argonaut Games
2025,Catwoman,XB,2004,Action,Electronic Arts,0.04,0.01,0,0,0.06,EA Games
2026,Catwoman,GBA,2004,Action,Electronic Arts,0.03,0.01,0,0,0.04,Magic Pockets
2027,Catz,DS,2006,Simulation,Ubisoft,0.49,0.02,0,0.04,0.55,Powerhead Games
2028,Catz,GBA,2005,Simulation,Ubisoft,0.18,0.06,0,0,0.24,MTO
2029,Cave Story 3D,3DS,2011,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14,Nicalis
2030,Cel Damage,XB,2001,Racing,Electronic Arts,0.09,0.03,0,0,0.12,Pseudo Interactive
2031,Cel Damage,GC,2002,Racing,Electronic Arts,0.05,0.01,0,0,0.06,Pseudo Interactive
2032,Celebrity Sports Showdown,Wii,2008,Sports,Electronic Arts,0.18,0.22,0,0.05,0.45,EA Canada
2033,Center Ring Boxing,SAT,1994,Fighting,JVC,0,0,0.12,0,0.12,
2034,Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36,
2035,Centipede,PS,1998,Shooter,Atari,0.36,0.25,0,0.04,0.65,
2036,Centipede / Breakout / Warlords,GBA,2005,Misc,Zoo Digital Publishing,0.05,0.02,0,0,0.07,Epicenter Interactive
2037,Centipede: Infestation,Wii,2011,Shooter,Atari,0.05,0,0,0,0.05,WayForward
2038,Centipede: Infestation,3DS,2011,Shooter,Atari,0.04,0,0,0,0.05,WayForward
2039,Cesar Millan's Dog Whisperer,DS,2008,Simulation,Ubisoft,0.04,0,0,0,0.05,Ubisoft
2040,Ceville,PC,2009,Action,Kalypso Media,0,0.02,0,0,0.02,Boxed Dream
2041,Challenge Me: Brain Puzzles,DS,2009,Puzzle,Oxygen Interactive,0.06,0,0,0,0.06,Oxygen Interactive
2042,Challenge Me: Brain Puzzles 2,DS,2010,Puzzle,O-Games,0.05,0.04,0,0.01,0.09,O-Games
2043,Challenge Me: Brain Puzzles 2,Wii,2010,Puzzle,O-Games,0,0.05,0,0,0.06,O-Games
2044,Challenge Me: Maths Workout,DS,2009,Puzzle,Oxygen Interactive,0.04,0,0,0,0.04,
2045,Challenge Me: Word Puzzles,DS,2011,Puzzle,O-Games,0.03,0,0,0,0.03,O-Games
2046,Chameleon,PSP,2006,Puzzle,505 Games,0.08,0,0,0.01,0.09,Starfish
2047,Chameleon Twist,N64,1997,Platform,Sunsoft,0.09,0.02,0,0,0.11,
2048,Chameleon Twist 2,N64,1998,Platform,Infogrames,0.04,0.01,0,0,0.05,
2049,Chameleon: To Dye For!,DS,2006,Puzzle,505 Games,0.01,0,0,0,0.01,
2050,Champion Jockey: G1 Jockey & Gallop Racer,PS3,2011,Sports,Tecmo Koei,0.06,0.05,0.08,0.02,0.21,
2051,Champion Jockey: G1 Jockey & Gallop Racer,Wii,2011,Sports,Tecmo Koei,0.04,0.03,0.01,0.01,0.09,
2052,Champion Jockey: G1 Jockey & Gallop Racer,X360,2011,Sports,Tecmo Koei,0,0.05,0,0.01,0.06,
2053,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0,0.16,1.28,Snowblind Studios
2054,Champions: Return to Arms,PS2,2005,Role-Playing,Sony Online Entertainment,0.32,0.25,0,0.08,0.65,Snowblind Studios
2055,Championship Bass,PS,1999,Sports,Electronic Arts,0.18,0.12,0,0.02,0.32,
2056,Championship Foosball,Wii,2008,Sports,505 Games,0.09,0,0,0.01,0.09,505 Games
2057,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0,1.15,0,0.11,1.26,
2058,Championship Manager 2010,PC,2009,Sports,Eidos Interactive,0,0.01,0,0,0.01,
2059,Championship Manager 3,PC,2003,Sports,Eidos Interactive,0,0.93,0,0.08,1.01,
2060,Championship Manager 99/00,PC,1999,Sports,Eidos Interactive,0,0.98,0,0.09,1.07,
2061,Championship Manager Season 01/02,PC,2001,Sports,Eidos Interactive,0,0.03,0,0,0.03,
2062,Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,0.08,0.05,0,0.01,0.14,Funcom
2063,Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,0.32,0.22,0,0.04,0.58,
2064,Championship Pony,DS,2008,Simulation,"Destination Software, Inc",0.09,0,0,0.01,0.1,Coyote Console
2065,Championship Surfer,PS,2000,Sports,Mattel Interactive,0.03,0.02,0,0,0.06,Krome Studios
2066,Chaos Legion,PS2,2003,Action,Capcom,0.15,0.12,0,0.04,0.3,Capcom
2067,Chaos Rings III,PSV,2014,Role-Playing,Square Enix,0,0,0.06,0,0.06,
2068,Chaos Wars,PS2,2006,Strategy,Idea Factory,0,0,0.04,0,0.04,Idea Factory
2069,Chaos;Child,PSV,2015,Adventure,5pb,0,0,0.05,0,0.05,
2070,Chaos;Child,PS4,2015,Adventure,5pb,0,0,0.01,0,0.01,
2071,Chaos;Child,PS3,2015,Adventure,5pb,0,0,0.01,0,0.01,
2072,Chaos;Head - Love Chu*Chu!,PSP,2011,Adventure,5pb,0,0,0.04,0,0.04,
2073,Chaos;Head - Love Chu*Chu!,X360,2010,Adventure,5pb,0,0,0.03,0,0.03,
2074,Chaos;Head Noah,X360,2009,Adventure,5pb,0,0,0.04,0,0.04,
2075,Chaos;Head Noah,PSP,2010,Adventure,5pb,0,0,0.02,0,0.02,
2076,Chaos;Head Noah,PSV,2014,Adventure,5pb,0,0,0.01,0,0.01,
2077,Chaotic: Shadow Warriors,Wii,2009,Action,Activision,0.18,0,0,0.01,0.19,FUN Labs
2078,Chaotic: Shadow Warriors,DS,2009,Action,Activision,0.17,0,0,0.01,0.18,FUN Labs
2079,Chaotic: Shadow Warriors,PS3,2009,Action,Activision,0.15,0,0,0.02,0.17,FUN Labs
2080,Chaotic: Shadow Warriors,X360,2009,Action,Activision,0.14,0,0,0.01,0.16,FUN Labs
2081,Charlie and the Chocolate Factory,PS2,2005,Adventure,Global Star,0.17,0.13,0,0.04,0.35,"High Voltage Software, Backbone Entertainment"
2082,Charlie and the Chocolate Factory,GBA,2005,Adventure,Global Star,0.22,0.08,0,0.01,0.3,"High Voltage Software, Backbone Entertainment"
2083,Charlie and the Chocolate Factory,GC,2005,Adventure,Global Star,0.14,0.04,0,0,0.18,"High Voltage Software, Backbone Entertainment"
2084,Charlie and the Chocolate Factory,XB,2005,Adventure,Global Star,0.08,0.02,0,0,0.11,"High Voltage Software, Backbone Entertainment"
2085,Charlie Blasts Territory,N64,1999,Action,Kemco,0.02,0.01,0,0,0.03,
2086,Charlie's Angels,GC,2003,Action,Ubisoft,0.01,0,0,0,0.02,Neko Entertainment
2087,Charlotte's Web,DS,2006,Action,Sega,0.08,0,0,0.01,0.09,Backbone Entertainment
2088,Charm Girls Club: My Fashion Mall,DS,N/A,Simulation,Unknown,0.12,0,0,0.01,0.12,Electronic Arts
2089,Charm Girls Club: My Fashion Show,DS,N/A,Simulation,Unknown,0.08,0,0,0.01,0.08,Electronic Arts
2090,Charm Girls Club: My Perfect Prom,DS,2009,Simulation,Electronic Arts,0.11,0,0,0.01,0.12,Griptonite Games
2091,Charm Girls Club: Pajama Party,Wii,2009,Misc,Electronic Arts,0.14,0,0,0.01,0.15,Electronic Arts
2092,Chase: Hollywood Stunt Driver,XB,2002,Racing,BAM! Entertainment,0.09,0.03,0,0,0.12,I-Imagine
2093,Checkers,2600,1980,Misc,Atari,0.22,0.01,0,0,0.24,
2094,Cheer We Go!,DS,2010,Misc,Natsume,0.04,0,0,0,0.04,
2095,Chess,PS,2001,Strategy,Success,0.05,0.04,0,0.01,0.09,
2096,Chessmaster,PS2,2003,Misc,Ubisoft,0.19,0.15,0,0.05,0.39,Ubisoft Romania
2097,Chessmaster,XB,2004,Misc,Ubisoft,0.1,0.03,0,0,0.13,Ubisoft
2098,Chessmaster,GBA,2002,Misc,Ubisoft,0.03,0.01,0,0,0.04,Ubisoft
2099,Chessmaster II,PS,1998,Strategy,Mindscape,0.08,0.06,0,0.01,0.15,
2100,Chessmaster: The Art of Learning,DS,2007,Misc,Ubisoft,0.12,0.03,0,0.01,0.15,Ubisoft
2101,Chessmaster: The Art of Learning,PSP,2008,Misc,Ubisoft,0.11,0,0,0.01,0.12,Ubisoft
2102,Chevrolet Camaro: Wild Ride,Wii,2010,Racing,Storm City Games,0.06,0,0,0,0.06,CokeM Interactive
2103,Chevrolet Camaro: Wild Ride,DS,2010,Racing,Storm City Games,0.02,0,0,0,0.02,Visual Impact
2104,Chibi Maruko-Chan DS: Maru-Chan no Machi,DS,2009,Puzzle,Namco Bandai Games,0,0,0.04,0,0.04,
2105,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,Epoch,0,0,0.08,0,0.08,
2106,Chibi-Robo! Park Patrol,DS,2007,Adventure,Unknown,0,0,0.19,0,0.19,Skip Ltd.
2107,Chibi-Robo! Plug into Adventure!,GC,2005,Adventure,Nintendo,0.23,0.06,0.09,0.01,0.39,
2108,Chibi-Robo! Zip Lash,3DS,2015,Platform,Nintendo,0.09,0.08,0.06,0.02,0.24,
2109,Chicago Enforcer,XB,2005,Shooter,Kemco,0.02,0,0,0,0.02,Touchdown Entertainment
2110,Chicken Blaster,Wii,2009,Shooter,Zushi Games,0.29,0,0,0.02,0.32,Zoo Games
2111,Chicken Blaster,DS,2009,Shooter,Zushi Games,0.04,0,0,0,0.04,Zoo Games
2112,Chicken Hunter,DS,2007,Shooter,Phoenix Games,0.02,0,0,0,0.02,Phenomedia
2113,Chicken Riot,Wii,2010,Action,City Interactive,0.14,0.15,0,0.03,0.32,City Interactive
2114,Chicken Run,PS,2000,Adventure,Eidos Interactive,0.07,0.05,0,0.01,0.13,Blitz Games
2115,Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,0.32,0,0,0.02,0.35,Destination Software
2116,Chicken Shoot,DS,2007,Action,Zoo Digital Publishing,0.13,0,0,0.01,0.14,FrontLine Studios
2117,Chicken Shoot,GBA,2005,Action,Zoo Digital Publishing,0.03,0.01,0,0,0.04,
2118,Chicken Shoot 2,GBA,2005,Adventure,Zoo Digital Publishing,0.02,0.01,0,0,0.03,Zuxxez
